Comune,SI_norm_km_density_x,SP_norm_km_density_x,SS_norm_km_density_x,SI_norm_min_density_x,SP_norm_min_density_x,SS_norm_min_density_x,SI_norm_km_density_y,SP_norm_km_density_y,SS_norm_km_density_y,SI_norm_min_density_y,SP_norm_min_density_y,SS_norm_min_density_y
CIVITA CASTELLANA,0.0032171574188038163,0.003165758672146933,0.002939815550544383,0.004281539885531217,0.004130260431421683,0.004215675894394433,0.0021640354380707146,0.0023440951060079715,0.002003734611148358,0.00250755821682934,0.002662633588543668,0.002590881717905035
CIVITELLA D'AGLIANO,0.003928337189620718,0.003928337189620718,0.00665750078312955,0.005548244322283398,0.005548244322283398,0.008852483021198317,0.003579479997630499,0.003579479997630499,0.0030563136384058115,0.004785331931302633,0.004785331931302633,0.0030849230195375715
CIVITELLA SAN PAOLO,0.00173395630912275,0.00173395630912275,0.00182933280008065,0.00337396072701155,0.00337396072701155,0.0035154180782923003,0.0022545596175081333,0.0022545596175081333,0.0023435294863446803,0.004312372436977079,0.004312372436977079,0.004339418368699101
COLFELICE,0.00096810027467625,0.0007909491965602999,0.0012380202996981,0.0020111702691482,0.0013925753688634,0.0024642413810487002,0.0005311569519699798,2.0754812519084395e-05,0.0011727541943021271,0.001137662184999852,0.0006084697149204562,0.0020160240650878665
COLLALTO SABINO,0.0514334532789176,0.01175816064195025,0.050655146454081854,0.07868886357220065,0.020459150781078,0.0780617598499769,0.039016844815375346,0.016426818973761713,0.038568587440056215,0.06104155644294069,0.02810370136670592,0.06066540994166851
COLLE DI TORA,0.0042379463206872,0.0007153844738358,0.0137086365206634,0.0074836319071483,0.0021381805448995,0.0217804492794001,,,,,,
COLLE SAN MAGNO,6.903885731577536e-05,6.903885731577536e-05,0.0067160358174857,0.000133796235108,0.000133796235108,0.0111719856315256,,,,,,
COLLEFERRO,0.004067675832730225,0.003980760032555925,0.003947641744308025,0.008634835044683549,0.008535034206260676,0.008816546005864026,0.004417174890915255,0.004218828353380428,0.004577613133839455,0.00974474771672405,0.009339568188703278,0.010761743092944987
COLLEGIOVE,0.0367198857253235,0.0151312271934342,0.0518093219103187,0.0557693802272289,0.0257230862288381,0.0799793437367236,,,,,,
COLLEPARDO,0.00949912011006445,0.00949912011006445,0.01322830442376165,0.0173882259627444,0.0173882259627444,0.01990093046508715,0.013377893016575156,0.013377893016575156,0.006363956100053959,0.024422197774193313,0.024422197774193313,0.0088695352134743
