Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_match_ratio,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_match_ratio,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_match_ratio
BRACCIANO,5801310006.0,886.0,5.669666666666667,0.8542004058377247,25.85,12.876895761185786,3/3,5.793499999999999,1.08965154980847,27.958333333333332,16.558083792784988,2/2,5.363,,21.983333333333334,,1/1
BRACCIANO,5801310001.0,12279.0,1.0673333333333332,0.12728838648255908,14.349999999999998,1.9507121206825415,3/3,1.0365,0.12374368670764593,14.208333333333334,2.3216672648958308,2/2,0.577,,7.866666666666665,,1/1
BRACCIANO,5801310004.0,373.0,2.921666666666667,0.8015424713222209,34.65555555555556,0.4882887730901921,3/3,2.497,0.029698484809834867,35.49166666666667,0.6717514421272222,2/2,3.311,,31.23333333333333,,1/1
BRACCIANO,5801310002.0,240.0,0.0,,38.333333333333336,1.5275252316519465,3/3,0.0,,39.0,1.4142135623730951,2/2,0.0,,38.0,,1/1
BRACCIANO,5801310005.0,1465.0,3.275,1.3389619113328057,32.05,7.730944314894527,3/3,2.8770000000000002,0.6010407640085654,42.05833333333334,8.709198521614312,2/2,2.9010000000000002,,13.866666666666667,,1/1
BRACCIANO,5801310003.0,280.0,2.2146666666666666,0.8624130874084259,37.74999999999999,13.08637968780263,3/3,2.3525,1.0896515498084698,40.075,16.675934922982744,2/2,1.922,,34.18333333333333,,1/1
BRACCIANO,5801320005.0,143.0,2.2816666666666667,1.3955036127983809,20.905555555555555,2.6289696615749465,3/3,2.2145,1.1151073939311857,33.916666666666664,17.15912455679355,2/2,1.8030000000000002,,28.366666666666667,,1/1
BRACCIANO,5801320006.0,762.0,3.1350000000000002,1.3562702533049968,33.75555555555556,2.685213282100766,3/3,3.5389999999999997,1.7493821766555184,33.25833333333333,1.9916841003421062,2/2,2.679,,41.25,,1/1
BRACCIANO,5801320003.0,52.0,3.5326666666666666,0.3186366792027139,48.82222222222222,4.271037258004109,3/3,3.4495,0.2835498192558054,47.75833333333333,3.7594510533084753,2/2,3.302,,45.88333333333333,,1/1
BRACCIANO,5801326704.0,41.0,0.0,,28.333333333333332,1.1547005383792515,3/3,0.0,,28.5,0.7071067811865476,2/2,0.0,,27.0,,1/1
CAMERATA NUOVA,5801410001.0,382.0,41.004,,124.43333333333334,,1/1,0.128,,1.666666666666667,,1/1,41.004,,124.43333333333334,,1/1
CAMPAGNANO DI ROMA,5801510001.0,7052.0,1.097,,14.633333333333333,,1/1,1.079,,14.366666666666667,,1/1,0.974,,12.616666666666667,,1/1
CAMPAGNANO DI ROMA,5801520001.0,253.0,3.741,,54.983333333333334,,1/1,3.722,,54.71666666666667,,1/1,4.003,,58.6,,1/1
CAMPAGNANO DI ROMA,5801520002.0,1186.0,3.59,,53.55,,1/1,3.571,,53.28333333333333,,1/1,3.276,,48.93333333333333,,1/1
