Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
SAN POLO DEI CAVALIERI,5809610002,211.0,12.947,,30.683333333333334,,1/1
SAN POLO DEI CAVALIERI,5809620002,318.0,7.957,,21.6,,1/1
SANTA MARINELLA,5809710001,15776.0,1.738,,22.933333333333334,,1/1
SANTA MARINELLA,5809710002,1028.0,9.996,,22.216666666666665,,1/1
SANTA MARINELLA,5809720003,70.0,4.479,,39.3,,1/1
SANTA MARINELLA,5809710003,22.0,11.046,,21.283333333333335,,1/1
SANTA MARINELLA,5809720005,36.0,4.256,,34.6,,1/1
SANTA MARINELLA,5809720008,595.0,2.611,,34.483333333333334,,1/1
SANTA MARINELLA,5809720009,62.0,4.495,,19.933333333333334,,1/1
SANTA MARINELLA,5809720006,127.0,1.938,,25.183333333333334,,1/1
